Bolum,Ingilizce_Terim,Turkce_Anlami,Ingilizce_Tanim,Ornek_Ingilizce,Ornek_Turkce
A,[Amount] recoverable,Geri kazanılabilir (tutar),The higher of fair value less costs to sell and value in use.,The asset's carrying amount exceeded its recoverable amount.,Varlığın defter değeri geri kazanılabilir tutarını aştı.
A,A mounts recognised (in the balance sheet and income statement),Kayda alınan/Muhasebeleştirilen tutarlar (Bilanço ve gelir tablosunda),Amounts recorded in the financial statements.,The amounts recognised in the balance sheet include the deferred tax asset.,Bilançoda kayda alınan tutarlar ertelenmiş vergi varlığını içerir.
A,Accelerated depreciation allowances,Hızlandırılmış amortisman uygulaması,Tax rules allowing faster write-down of assets.,Accelerated depreciation allowances reduce taxable profit in early years.,"Hızlandırılmış amortisman uygulaması, ilk yıllarda vergilendirilebilir kârı azaltır."
A,Acceptable under IFRSs,IFRS’e göre kabul edilebilir,Describes an accounting treatment or presentation that complies with the requirements of International Financial Reporting Standards.,The proposed revenue recognition policy is acceptable under IFRSs and does not require any modification.,Önerilen hasılat kaydetme politikası IFRS’e göre kabul edilebilirdir ve herhangi bir değişiklik gerektirmez.
A,Accountability of management,Yönetimin hesap verebilirliği,Management's duty to account for its stewardship.,Accountability of management requires transparent reporting to owners.,"Yönetimin hesap verebilirliği, sahiplere şeffaf raporlama yapılmasını gerektirir."
A,Accounting,Muhasebe,"The process of recording, classifying and summarising financial transactions.",Accounting provides the figures used in the annual report.,"Muhasebe, yıllık raporda kullanılan rakamları sağlar."
A,Accounting acquiree,Muhasebe açısından edinilen,The entity whose accounting is treated as the acquiree in a reverse acquisition.,"In a reverse acquisition, the legal parent is the accounting acquiree.","Ters bir satın almada, yasal ana ortaklık muhasebe açısından edinilen taraf olur."
A,Accounting and Reporting by Retirement Benefit Plans,Emeklilik Fayda Planlarında Muhasebeleştirme ve Raporlama,The standard that prescribes how retirement benefit plans report their obligations and plan assets to participants.,The plan's financial statements were prepared under the standard on Accounting and Reporting by Retirement Benefit Plans.,"Planın finansal tabloları, Emeklilik Fayda Planlarında Muhasebeleştirme ve Raporlama standardına göre hazırlanmıştır."
A,Accounting arbitrage,Muhasebe arbitrajı,Exploiting differences between accounting rules to gain value.,The group used accounting arbitrage across two jurisdictions.,Grup iki yargı alanı arasında muhasebe arbitrajından yararlandı.
A,Accounting estimate,Muhasebe tahmini,An approximation of a monetary amount when no precise measurement is possible.,The useful life of the machine is an accounting estimate.,Makinenin faydalı ömrü bir muhasebe tahminidir.
