术语,定义,例句
可收回金额,公允价值减去出售费用后的净额与其使用价值两者之中的较高者。,该资产的账面金额超过了其可收回金额。
确认的金额（在资产负债表和利润表中）,在财务报表中记录的金额。,在资产负债表中确认的金额包括递延所得税资产。
加速折旧优惠,允许更快地扣减（折旧）资产价值的税收规定。,加速折旧优惠在早期年度减少应纳税利润。
符合国际财务报告准则,指符合国际财务报告准则要求的会计处理或列报方式。,拟议的收入确认政策符合国际财务报告准则，无需作任何修改。
管理层的受托责任,管理层对其经管责任进行交账报告的义务。,管理层的受托责任要求向所有者进行透明的报告。
会计,对财务交易进行记录、分类和汇总的过程。,会计提供年度报告中使用的数字。
会计上的被购买方,在反向购买中，其会计处理上被视为被购买方的主体。,在反向购买中，法律上的母公司是会计上的被购买方。
退休福利计划的会计处理与报告,规范退休福利计划如何向参与者报告其义务和计划资产的准则。,该计划的财务报表是根据《退休福利计划的会计处理与报告》准则编制的。
会计套利,利用会计规则之间的差异来获取利益。,该集团在两个司法管辖区之间进行了会计套利。
会计估计,在无法精确计量的情况下对货币金额作出的近似估计。,机器的预计使用寿命是一项会计估计。
政府补助的会计处理与政府援助的披露,关于政府补助会计处理及相关披露的准则。,只有在对遵守相关条件有合理保证时，政府补助才予以确认。
存货的会计处理,以成本与可变现净值两者中的较低者对存货进行计量和报告。,存货的会计处理要求以成本与可变现净值两者中的较低者对存货进行计量。
联营企业投资的会计处理,规范投资者如何对其具有重大影响的联营企业投资进行会计处理的准则，通常采用权益法。,按照联营企业投资的权益法进行会计处理时，投资者确认其在联营企业利润中所占的份额。
收入及相关费用的会计处理,将收入与相关费用一同确认。,收入及相关费用的会计处理遵循权责发生制。
会计利润,按照会计规则而非税收规则计量的利润。,会计利润可能与应纳税所得额不同。
会计错配,当相关资产和负债以不同基础计量时产生的不一致。,以公允价值计量某一项目可能产生会计错配。
会计模式,主体在编制财务报表时采用的计量和确认基础的框架。,该主体将其投资性房地产的会计模式从成本模式变更为公允价值模式。
会计期间,财务报表所涵盖的期间，通常为一年。,会计期间于每年12月31日结束。
会计政策,主体在编制财务报表时采用的具体原则和基础。,该主体披露了其有关存货的会计政策。
权责发生制假设,交易在其发生时即予记录，而非在现金收付时记录。,在权责发生制下，收入在赚取时予以确认。
累计折旧,迄今为止已对某项资产计提的折旧总额。,累计折旧从资产成本中扣减。
累计利润或亏损,主体尚未作为股利分配或转入其他准备的累计净收益。,董事会决定保留累计利润或亏损，以为未来的资本支出提供资金。
累积带薪缺勤,可结转至以后期间使用的带薪缺勤。,累积带薪缺勤在员工赚取时予以确认。
