Bolum,Ingilizce_Terim,Almanca_Anlami,Almanca_Tanim,Ornek_Almanca
A,[Amount] recoverable,erzielbarer Betrag,Der höhere Betrag aus beizulegendem Zeitwert abzüglich Veräußerungskosten und Nutzungswert.,Der Buchwert des Vermögenswerts überstieg seinen erzielbaren Betrag.
A,A mounts recognised (in the balance sheet and income statement),erfasste Beträge (in der Bilanz und der Gewinn- und Verlustrechnung),"Beträge, die im Jahresabschluss erfasst werden.",Die in der Bilanz erfassten Beträge umfassen die aktiven latenten Steuern.
A,Accelerated depreciation allowances,Sonderabschreibungen / beschleunigte Abschreibung,"Steuervorschriften, die eine schnellere Abschreibung von Vermögenswerten ermöglichen.",Beschleunigte Abschreibungen mindern den zu versteuernden Gewinn in den ersten Jahren.
A,Acceptable under IFRSs,nach IFRS zulässig,"Bezeichnet eine Bilanzierungs- oder Darstellungsweise, die den Anforderungen der International Financial Reporting Standards entspricht.",Die vorgeschlagene Bilanzierungspolitik zur Umsatzerfassung ist nach IFRS zulässig und erfordert keinerlei Änderung.
A,Accountability of management,Rechenschaftspflicht der Geschäftsführung,"Die Pflicht der Geschäftsführung, Rechenschaft über ihre Führung des Unternehmens abzulegen.",Die Rechenschaftspflicht der Geschäftsführung erfordert transparente Berichterstattung gegenüber den Eigentümern.
A,Accounting,Buchhaltung / Rechnungswesen,"Der Prozess der Erfassung, Ordnung und Zusammenfassung von Geschäftsvorfällen.",Die Buchhaltung liefert die im Geschäftsbericht verwendeten Zahlen.
A,Accounting acquiree,materiell erworbenes Unternehmen,"Das Unternehmen, dessen Bilanzierung in einer umgekehrten Übernahme als das erworbene Unternehmen behandelt wird.",Bei einer umgekehrten Übernahme ist das rechtliche Mutterunternehmen das materiell erworbene Unternehmen.
A,Accounting and Reporting by Retirement Benefit Plans,Rechnungslegung und Berichterstattung über Altersversorgungspläne,"Der Standard, der vorschreibt, wie Altersversorgungspläne über ihre Verpflichtungen und Planvermögen gegenüber den Begünstigten berichten.",Der Abschluss des Plans wurde nach dem Standard über die Rechnungslegung und Berichterstattung über Altersversorgungspläne aufgestellt.
A,Accounting arbitrage,Rechnungslegungsarbitrage / Bilanzarbitrage,Die Ausnutzung von Unterschieden zwischen Rechnungslegungsvorschriften zur Erlangung von Vorteilen.,Die Gruppe nutzte die Rechnungslegungsarbitrage zwischen zwei Rechtsräumen aus.
A,Accounting estimate,Rechnungslegungsschätzung / Bilanzierungsschätzung,"Eine Annäherung an einen Geldbetrag, wenn keine exakte Bewertung möglich ist.",Die Nutzungsdauer der Maschine ist eine Rechnungslegungsschätzung.
